link_id,from_id,to_id,from,to,mode,distance_km,cost,emission,data_sources
L1,C1,C2,S,A,Air,,6,100,
L2,C1,C2,S,A,Road,,3,20,
L3,C1,C3,S,B,Air,,5,90,
L4,C1,C3,S,B,Road,,2,15,
L5,C1,C4,S,C,Air,,8,130,
L6,C1,C4,S,C,Road,,4,30,
L7,C2,C3,A,B,Air,,4,70,
L8,C2,C3,A,B,Road,,2,10,
L9,C2,C5,A,T,Air,,6,110,
L10,C2,C5,A,T,Road,,5,30,
L11,C3,C4,B,C,Air,,5,80,
L12,C3,C4,B,C,Road,,3,15,
L13,C3,C5,B,T,Air,,7,70,
L14,C3,C5,B,T,Road,,3,20,
L15,C4,C2,C,A,Air,,6,110,
L16,C4,C2,C,A,Road,,3,20,
L17,C4,C5,C,T,Air,,7,130,
L18,C4,C5,C,T,Road,,3,20,
